"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Topic","Subtopics","IntrinsicDifficulty"
"What is consensus and why is it harder than simple replication?","Consensus ensures nodes agree on a single authoritative order of operations, even under failure, not just copying data.","It matters because coordination is required for correctness in distributed systems.","Use for leader election and strongly consistent systems.","Ensures correctness but adds latency and complexity.","Mistake: treating replication as consensus. Why wrong: replication alone does not resolve conflicts. Consequence: inconsistent system state.","Raft ensures only one leader writes changes.","system-design","fault-tolerance,consistency","5"
"What is graceful degradation versus fail-fast behavior?","Graceful degradation keeps partial functionality under stress, while fail-fast rejects work early to avoid corruption or overload.","It matters because different failures require different responses.","Use degradation for optional features, fail-fast for critical correctness.","Degradation preserves usability but reduces quality; fail-fast protects integrity but disrupts users.","Mistake: applying one pattern universally. Why wrong: not all failures are equal. Consequence: either unnecessary outages or hidden errors.","Media site drops recommendations, payment service rejects unsafe requests.","system-design","fault-tolerance,availability","4"
"How does autoscaling help, and what problems does it not solve?","Autoscaling adjusts capacity based on load, helping absorb demand changes but not fixing bottlenecks or slow dependencies.","It matters because scaling compute alone does not fix system design flaws.","Use for stateless workloads with clear metrics.","Improves elasticity but cannot solve shared resource limits.","Mistake: assuming autoscaling solves all scaling issues. Why wrong: bottlenecks remain. Consequence: failures persist despite scaling.","API scales but database still limits throughput.","system-design","scalability,availability","4"
"What is load balancing health checking and why can bad health checks cause outages?","Health checks determine which nodes receive traffic, so incorrect checks can route traffic to failing nodes or remove healthy ones.","It matters because routing decisions directly impact availability.","Use in load balancers and service meshes.","Fast detection improves failover but overly strict checks cause instability.","Mistake: shallow or overly strict checks. Why wrong: misclassifies nodes. Consequence: traffic routed incorrectly.","Service reports healthy despite DB outage.","system-design","load-balancing,reliability","4"
"What is tail drop versus priority shedding in overload control?","Tail drop rejects requests after capacity is full, while priority shedding drops lower-value work first to protect critical operations.","It matters because not all traffic has equal value.","Use priority shedding for mixed workloads.","Tail drop is simple but blunt; priority shedding is smarter but complex.","Mistake: treating all traffic equally. Why wrong: critical work gets dropped. Consequence: business impact.","Checkout requests preserved while analytics dropped.","system-design","backpressure,availability","4"
"What is the difference between synchronous and asynchronous workflows in system design?","Synchronous workflows block until completion, while asynchronous workflows defer processing to background systems.","It matters because this choice impacts latency, reliability, and scalability.","Use sync for immediate results, async for long-running tasks.","Sync is simpler but fragile; async improves resilience but adds complexity.","Mistake: making everything synchronous. Why wrong: long tasks block resources. Consequence: timeouts and poor performance.","Video upload is async, validation is sync.","system-design","latency,throughput","4"
"What is head-of-line blocking and where does it show up in system design?","Head-of-line blocking occurs when a slow request delays all subsequent work in a shared queue or resource.","It matters because it increases latency even when capacity exists.","Use isolation or prioritization to prevent it.","Shared queues are simple but can create unfair delays.","Mistake: mixing workloads. Why wrong: slow tasks block fast ones. Consequence: latency spikes.","Heavy jobs block lightweight requests.","system-design","latency,throughput","4"
"What is a bottleneck, and why does optimizing the wrong layer waste effort?","A bottleneck is the component limiting system throughput, so optimizing non-limiting parts has little impact.","It matters because effort must target the true constraint.","Use metrics to identify bottlenecks.","Fixing bottlenecks improves performance but may shift them elsewhere.","Mistake: optimizing visible components. Why wrong: not actual constraint. Consequence: no improvement.","Scaling servers doesn’t help if DB is bottleneck.","system-design","throughput,performance","3"
"What is redundancy at the network edge, and why is it different from server redundancy?","Edge redundancy duplicates ingress points like DNS and load balancers, ensuring users can reach the system even if entry paths fail.","It matters because compute redundancy is useless if traffic cannot reach it.","Use for internet-facing systems.","Improves availability but adds network complexity.","Mistake: only adding server redundancy. Why wrong: ingress can still fail. Consequence: full outage.","Single load balancer failure blocks access.","system-design","redundancy,availability","4"
"What is read-heavy versus write-heavy design pressure, and why does it matter for caching and scaling?","Read-heavy systems optimize for fast retrieval, while write-heavy systems optimize for ingestion and durability, requiring different architectures.","It matters because optimizations differ drastically.","Use caching for reads, buffering for writes.","Read optimizations hurt writes and vice versa.","Mistake: applying read strategies to write-heavy systems. Why wrong: doesn’t address bottleneck. Consequence: poor performance.","Caching helps feeds, not ingestion pipelines.","system-design","throughput,caching","4"
"What is request coalescing and why does it help under load?","Request coalescing merges identical in-flight requests so only one backend call is made, reducing duplicate work.","It matters because hot keys can overwhelm systems.","Use for caching and expensive reads.","Improves efficiency but adds coordination complexity.","Mistake: allowing duplicate work. Why wrong: multiplies load. Consequence: system overload.","Many users request same uncached resource.","system-design","caching,throughput","4"
"What is a rate limit budget and why is it better than a vague 'protect the API' goal?","A rate limit budget defines explicit limits tied to system capacity, ensuring fair and predictable usage.","It matters because vague limits fail to protect systems effectively.","Use in multi-tenant APIs.","Improves fairness but requires tuning.","Mistake: arbitrary limits. Why wrong: not aligned with capacity. Consequence: overload or blocked users.","API assigns per-tenant request quotas.","system-design","rate-limiting,reliability","4"
"What is a retry storm and how do you prevent it?","A retry storm occurs when many clients retry simultaneously, overwhelming a failing system and delaying recovery.","It matters because retries can amplify failures.","Use backoff, jitter, and limits.","Improves resilience but adds latency.","Mistake: immediate retries. Why wrong: synchronized load spike. Consequence: extended outage.","Clients retry failed requests instantly.","system-design","backpressure,reliability","4"
"What is overprovisioning, and when is it a rational design choice?","Overprovisioning keeps extra capacity available to handle spikes and failures without relying solely on scaling.","It matters because scaling may not react fast enough.","Use for critical systems.","Improves resilience but increases cost.","Mistake: optimizing only for average load. Why wrong: ignores spikes. Consequence: failures under peak.","Login service maintains spare capacity.","system-design","availability,scalability","3"
"What is dependency isolation, and why does it matter more as systems grow?","Dependency isolation separates resources so failures in one dependency do not consume all capacity.","It matters because shared resources amplify failures.","Use separate pools and limits.","Improves resilience but adds complexity.","Mistake: shared resource pools. Why wrong: one failure spreads. Consequence: system-wide outage.","Separate pools for payment vs recommendations.","system-design","fault-tolerance,reliability","5"
"What is availability budget thinking, and how does it change system design choices?","Availability budgets define acceptable downtime targets, guiding how much redundancy and complexity to invest in.","It matters because vague goals lead to inconsistent design decisions.","Use when setting SLOs.","Improves prioritization but increases cost at higher targets.","Mistake: vague availability goals. Why wrong: unclear tradeoffs. Consequence: over/under engineering.","Critical systems require higher availability targets.","system-design","availability,reliability","5"
