"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Topic","Subtopics","IntrinsicDifficulty"
"What role does the query optimizer play in index usage?","The optimizer evaluates execution plans and chooses whether an index or full scan is cheaper based on statistics and cost estimates.","It matters because indexes only help if the optimizer decides to use them.","Keep statistics updated to guide decisions.","Optimizers improve performance but can misestimate with stale stats.","Mistake: assuming index is always used. Why wrong: optimizer may choose scan. Consequence: unexpected slow queries.","A query ignores an index due to outdated stats.","database","indexing,performance","4"
"Why do indexes help JOIN performance?","Indexes on join keys allow quick lookups between tables instead of scanning entire datasets.","It matters because joins can become extremely expensive at scale without indexes.","Index foreign keys and join columns.","They speed joins but increase write cost.","Mistake: joining without indexes. Why wrong: leads to nested scans. Consequence: exponential slowdown.","Joining large tables without indexes causes major delays.","database","indexing,joins","3"
"What is index-only scan and why is it faster?","An index-only scan retrieves all needed data from the index without accessing the base table.","It matters because avoiding table access reduces I/O significantly.","Use covering indexes to enable it.","Requires extra index storage and maintenance.","Mistake: assuming all indexes support it. Why wrong: missing columns force table access. Consequence: slower queries.","A query reads only indexed columns and skips table access.","database","indexing,performance","4"
"How do writes impact index maintenance internally?","Each write updates index structures in addition to the table, requiring inserts or modifications within index trees.","It matters because write cost grows with the number of indexes.","Minimize indexes in write-heavy systems.","More indexes increase write latency.","Mistake: ignoring write cost. Why wrong: leads to slow ingestion. Consequence: throughput bottlenecks.","High-ingest systems slow due to index updates.","database","indexing,performance","3"
"Why can an index become a bottleneck under heavy writes?","Frequent writes can create contention on index pages, especially with sequential keys or hotspots.","It matters because contention limits scalability under load.","Design indexes to distribute writes evenly.","Indexes improve reads but may limit write throughput.","Mistake: using sequential keys without care. Why wrong: creates hotspots. Consequence: contention and slowdown.","Auto-increment IDs can cause index page contention.","database","indexing,scaling","4"
"What is the leftmost prefix rule in composite indexes?","A composite index can only be efficiently used starting from its first column and proceeding left to right.","It matters because skipping the first column makes the index unusable.","Align queries with index order.","Improves performance but reduces flexibility.","Mistake: filtering on second column only. Why wrong: index cannot be used. Consequence: full scan.","Index (A,B) won’t help filtering only on B.","database","indexing","3"
"Why do indexes not always improve performance?","Indexes may be ignored if a query returns a large portion of the table, making a scan cheaper.","It matters because indexes are not universally beneficial.","Use them for selective queries.","They help reads but can hurt bulk operations.","Mistake: assuming indexes always help. Why wrong: optimizer may choose scan. Consequence: wasted resources.","A query returning most rows uses a full scan.","database","indexing,performance","3"
"How does index size affect performance?","Larger indexes reduce cache efficiency and increase I/O because fewer entries fit in memory.","It matters because memory locality strongly impacts performance.","Keep indexes minimal.","More columns increase usefulness but reduce efficiency.","Mistake: overloading indexes. Why wrong: hurts caching. Consequence: slower queries.","A bloated index performs worse than a lean one.","database","indexing,performance","4"
"What is index rebuild vs reorganization?","Rebuild recreates the index completely, while reorganization defragments it incrementally.","It matters because each has different cost and impact.","Use rebuild for heavy fragmentation, reorg for light.","Rebuild is thorough but resource-heavy.","Mistake: always rebuilding. Why wrong: unnecessary cost. Consequence: wasted resources.","Light fragmentation doesn’t require rebuild.","database","indexing,performance","3"
"What is a unique index and how does it enforce constraints?","A unique index ensures no duplicate values exist, enforcing data integrity at the database level.","It matters because it prevents invalid data even under concurrency.","Use for identifiers like email.","Adds integrity but slightly increases write cost.","Mistake: relying only on app validation. Why wrong: race conditions. Consequence: duplicate data.","Concurrent inserts create duplicates without a unique index.","database","indexing","2"
"What is index cardinality and how does it influence query planning?","Cardinality measures distinct values in a column; higher cardinality improves selectivity and index usefulness.","It matters because it influences optimizer decisions.","Prefer indexing high-cardinality columns.","High cardinality improves reads but increases write overhead.","Mistake: confusing row count with cardinality. Why wrong: distinct values matter. Consequence: poor index choices.","User IDs have high cardinality and are ideal for indexing.","database","indexing,performance","3"
"Why can an index be ignored even when it exists?","The optimizer may skip an index if it estimates a scan is cheaper due to low selectivity or stale statistics.","It matters because index presence does not guarantee usage.","Keep stats updated and queries selective.","Indexes add overhead but may not be used.","Mistake: assuming index guarantees performance. Why wrong: optimizer decides. Consequence: unexpected slowness.","Query returns most rows so index is skipped.","database","indexing,performance","4"
"What is index scan vs index seek?","An index seek directly locates rows, while an index scan reads large portions of the index sequentially.","It matters because seeks are far more efficient for selective queries.","Design queries to favor seeks.","Seeks are fast but require selective filters.","Mistake: assuming all index usage is fast. Why wrong: scans can be expensive. Consequence: poor performance.","Filtering by ID uses seek; broad filter uses scan.","database","indexing,performance","3"
"Why does updating indexed columns cost more than non-indexed ones?","Updating indexed columns requires modifying both table and index structures.","It matters because write-heavy workloads are sensitive to this overhead.","Avoid indexing volatile columns.","Indexes improve reads but degrade writes.","Mistake: indexing frequently changing fields. Why wrong: high update cost. Consequence: slower writes.","Updating status column slows due to index maintenance.","database","indexing,performance","3"
"What is a bitmap index and when is it useful?","A bitmap index uses bitmaps for values, making it efficient for low-cardinality columns in read-heavy systems.","It matters because it can compress and accelerate analytical queries.","Use in data warehouses.","Efficient for reads but expensive to update.","Mistake: using in OLTP systems. Why wrong: high update cost. Consequence: poor performance.","Categorical analytics queries benefit from bitmap indexes.","database","indexing","4"
"How does index ordering help ORDER BY queries?","Indexes maintain sorted order, allowing queries to return ordered results without extra sorting.","It matters because sorting large datasets is expensive.","Use indexes aligned with ORDER BY.","Improves reads but adds maintenance cost.","Mistake: ignoring index order. Why wrong: requires sort. Consequence: slow queries.","Index on created_at speeds sorted queries.","database","indexing,performance","3"
"What is index intersection?","Index intersection combines multiple indexes to satisfy a query when no single index covers all conditions.","It matters because it provides flexibility but is less efficient than a composite index.","Use when composite index is unavailable.","Flexible but slower than dedicated index.","Mistake: relying on intersection instead of composite index. Why wrong: less efficient. Consequence: slower queries.","Query uses two indexes instead of one optimized composite index.","database","indexing","4"
"Why do indexes improve JOIN performance more than filtering sometimes?","Indexes on join keys enable fast lookups across tables, avoiding full scans during joins.","It matters because joins can dominate query cost.","Index both sides of join.","Improves joins but increases write cost.","Mistake: indexing only one table. Why wrong: other side still scans. Consequence: slow joins.","Joining without index causes full scans.","database","indexing,joins","3"
"What is index clustering factor?","Clustering factor measures how closely index order matches table storage order, affecting I/O efficiency.","It matters because poor clustering increases random I/O.","Align index with access patterns.","Good clustering improves reads but may degrade over time.","Mistake: ignoring clustering. Why wrong: impacts performance. Consequence: slower queries.","Poor clustering causes excessive disk reads.","database","indexing,performance","4"
"Why are covering indexes especially useful in high-throughput systems?","Covering indexes eliminate table lookups, reducing I/O and improving throughput for hot queries.","It matters because high-throughput systems are often I/O-bound.","Use for frequent queries.","Improves speed but increases index size.","Mistake: overusing covering indexes. Why wrong: bloats indexes. Consequence: memory pressure.","Hot queries run entirely from index.","database","indexing,performance","4"
"What is index skew and how does it affect performance?","Index skew occurs when certain values dominate a column, reducing selectivity so the index cannot efficiently narrow results.","It matters because skewed data leads the optimizer to misestimate costs and choose inefficient plans.","Analyze real data distribution before indexing.","Balanced distribution improves performance, but real-world data is often skewed.","Mistake: assuming uniform distribution. Why wrong: skew reduces selectivity. Consequence: index scans or poor plans.","A popular category dominates queries, making the index ineffective.","database","indexing,performance","4"
"What is the impact of NULL values on indexes?","Indexes often exclude or poorly handle NULL-heavy columns, so they provide little filtering benefit when most values are NULL.","It matters because low selectivity leads the optimizer to ignore the index.","Index nullable columns only when queries target non-null subsets.","Indexes can help targeted queries but waste space when mostly NULL.","Mistake: indexing a mostly NULL column. Why wrong: low usefulness. Consequence: wasted index and no performance gain.","A column with mostly NULL values rarely benefits from indexing.","database","indexing","3"
"Why do large IN clauses affect index usage?","Large IN clauses increase lookup cost and can cause the optimizer to switch from index seeks to scans.","It matters because query structure can override index benefits.","Use temp tables or joins for large value sets.","Indexes help small sets but degrade with large lists.","Mistake: assuming IN always uses indexes. Why wrong: optimizer may switch strategy. Consequence: slower queries.","Thousands of IDs in an IN clause degrade performance.","database","query-optimization,performance","4"
"What is a filtered index vs partial index?","Both index only rows matching a condition, reducing size and improving performance for targeted queries, though naming differs by database.","It matters because smaller indexes are faster and more cache-efficient.","Use for frequently filtered subsets like active records.","Improves targeted queries but is not universally supported.","Mistake: assuming portability. Why wrong: syntax differs by DB. Consequence: migration issues.","SQL Server filtered index vs PostgreSQL partial index.","database","indexing","3"
"How do statistics affect index usage?","Statistics describe data distribution so the optimizer can estimate cost and decide whether an index is beneficial.","It matters because stale stats lead to incorrect plans.","Update stats regularly on changing data.","Accurate stats improve plans but add maintenance overhead.","Mistake: ignoring statistics. Why wrong: optimizer guesses poorly. Consequence: inefficient queries.","Outdated stats cause index to be skipped.","database","indexing,performance","4"
"Why do indexes not help with functions in WHERE clauses?","Functions on indexed columns break sargability, preventing the optimizer from using index ordering for efficient lookups.","It matters because it forces full scans instead of seeks.","Rewrite queries to use raw column values.","Functions add flexibility but disable index usage.","Mistake: wrapping indexed column in a function. Why wrong: index cannot be used. Consequence: full table scan.","LOWER(email) prevents index usage.","database","query-optimization,performance","4"
"What is index hinting and when should it be avoided?","Index hints force the optimizer to use a specific index, bypassing cost-based decisions.","It matters because hints can become wrong as data evolves.","Use only for known, stable edge cases.","Can fix issues but makes queries brittle.","Mistake: overusing hints. Why wrong: optimizer is bypassed. Consequence: long-term performance degradation.","A forced index becomes inefficient as data grows.","database","query-optimization","4"
"Why does index maintenance become critical at scale?","As data grows, fragmentation and page splits increase, degrading index efficiency and query performance.","It matters because small inefficiencies scale into major slowdowns.","Schedule rebuilds or reorganizations for large datasets.","Maintenance improves performance but consumes resources.","Mistake: ignoring maintenance. Why wrong: fragmentation accumulates. Consequence: slow queries.","Large DB slows without index maintenance.","database","indexing,performance","3"
"What is index compression and when is it useful?","Index compression reduces storage size, improving cache efficiency and reducing I/O at the cost of CPU during access.","It matters because memory locality strongly impacts performance.","Use for large read-heavy indexes.","Saves space but increases CPU overhead.","Mistake: over-compressing. Why wrong: CPU cost outweighs benefit. Consequence: slower queries.","Compressed index improves storage but adds CPU cost.","database","indexing,performance","4"
"Why do write-heavy systems require different indexing strategies?","Write-heavy systems must minimize indexes because each write updates all indexes, increasing latency and contention.","It matters because indexing overhead directly limits throughput.","Use only essential indexes in write-heavy systems.","Improves writes but may degrade read performance.","Mistake: applying read-heavy indexing. Why wrong: increases write cost. Consequence: bottlenecks.","Logging system avoids excessive indexing.","database","indexing,performance","4"
"How do database transactions ensure consistency across multiple operations?","Transactions group operations into an atomic unit so all changes commit or all roll back, preventing partial updates.","It matters because partial failure can corrupt related data.","Use transactions for multi-step updates.","Ensures correctness but adds overhead and locking.","Mistake: assuming individual queries are safe. Why wrong: partial success breaks invariants. Consequence: inconsistent state.","Money transfer requires both debit and credit.","database","transactions,consistency","3"
"What are the ACID properties and why do they matter in real systems?","ACID guarantees atomicity, consistency, isolation, and durability so transactions behave predictably even under failure.","It matters because it prevents corruption and ensures recoverability.","Use ACID when correctness is critical.","Improves reliability but reduces performance and scalability.","Mistake: assuming ACID is free. Why wrong: requires coordination. Consequence: slower systems.","Banking systems rely on ACID.","database","transactions","3"
"What is isolation level and how does it impact concurrency?","Isolation levels control visibility of changes between transactions, trading off consistency for concurrency.","It matters because weaker levels allow anomalies while stronger levels reduce throughput.","Choose level based on consistency needs.","Higher isolation improves correctness but increases contention.","Mistake: always using highest isolation. Why wrong: unnecessary locking. Consequence: reduced throughput.","Reporting can use lower isolation.","database","transactions,performance","4"
"What is a dirty read and why is it dangerous?","A dirty read occurs when a transaction reads uncommitted data that may later be rolled back, making the read invalid.","It matters because decisions may be based on data that never actually existed.","Avoid dirty reads in critical systems.","Improves concurrency but risks incorrect results.","Mistake: ignoring isolation. Why wrong: invalid reads occur. Consequence: incorrect logic.","Report reads rolled-back data.","database","transactions,consistency","3"
"What is normalization and why is it important?","Normalization organizes data to eliminate redundancy so each fact is stored once, preventing inconsistent updates.","It matters because duplicated data leads to anomalies and integrity issues.","Use for relational schema design.","Improves integrity but increases joins.","Mistake: over-normalizing blindly. Why wrong: excessive joins. Consequence: slow queries.","Separating user and address avoids duplication.","database","normalization,schema-design","3"
"What problem does first normal form (1NF) solve?","1NF enforces atomic column values and removes repeating groups, making data queryable and consistent.","It matters because non-atomic data breaks relational operations.","Use in all relational schemas.","Improves structure but increases table complexity.","Mistake: storing arrays in columns. Why wrong: violates atomicity. Consequence: complex queries.","Multiple phone numbers in one column break 1NF.","database","normalization","2"
"What problem does third normal form (3NF) solve?","3NF removes transitive dependencies so non-key attributes depend only on the primary key, preventing duplicated derived data.","It matters because redundancy leads to inconsistent updates.","Use when designing normalized schemas.","Improves integrity but increases joins.","Mistake: ignoring dependencies. Why wrong: duplicates data. Consequence: inconsistent updates.","Customer city stored in multiple tables.","database","normalization","3"
"When should you denormalize a database schema?","Denormalization duplicates data to reduce joins and improve read performance when query cost outweighs consistency concerns.","It matters because joins can become bottlenecks at scale.","Use in read-heavy systems.","Improves reads but risks stale data.","Mistake: denormalizing too early. Why wrong: adds complexity. Consequence: maintenance issues.","Precomputed aggregates reduce join cost.","database","denormalization,performance","4"
"What are update anomalies and how does normalization prevent them?","Update anomalies occur when redundant data must be updated in multiple places, risking inconsistencies, which normalization avoids by centralizing data.","It matters because inconsistencies corrupt data integrity.","Use normalization to avoid duplication.","Improves integrity but may reduce performance.","Mistake: duplicating data. Why wrong: inconsistency risk. Consequence: conflicting values.","Updating address in multiple rows causes mismatch.","database","normalization","3"
"What is a database schema and why does it matter?","A schema defines structure, relationships, and constraints, enforcing how data is stored and validated.","It matters because it ensures consistency and correctness.","Use schemas to model data.","Improves integrity but reduces flexibility.","Mistake: treating schema casually. Why wrong: changes are costly. Consequence: complex migrations.","Well-defined schema prevents invalid data.","database","schema-design","3"
"What is a primary key and why is it critical?","A primary key uniquely identifies each row, enabling efficient lookups and enforcing uniqueness.","It matters because identity is fundamental to relationships.","Use for all tables.","Improves integrity but requires careful design.","Mistake: using non-unique keys. Why wrong: breaks identity. Consequence: duplicates.","User ID uniquely identifies users.","database","schema-design","2"
"What is a foreign key and what problem does it solve?","A foreign key enforces relationships by ensuring referenced data exists, preventing orphan records.","It matters because invalid references break data integrity.","Use for relational consistency.","Improves correctness but adds overhead.","Mistake: not using foreign keys. Why wrong: allows invalid data. Consequence: orphan records.","Orders referencing missing users.","database","schema-design","3"
"What is referential integrity and why is it important?","Referential integrity ensures relationships remain valid across tables, preventing broken links.","It matters because invalid relationships corrupt queries.","Use constraints to enforce it.","Improves correctness but adds overhead.","Mistake: disabling constraints. Why wrong: invalid data. Consequence: broken joins.","Deleting user leaves orphan orders.","database","schema-design","3"
"What is a composite key and when should you use it?","A composite key combines multiple columns to uniquely identify a row when no single column suffices.","It matters because it models real-world uniqueness.","Use when natural uniqueness spans columns.","Improves modeling but complicates queries.","Mistake: ignoring natural keys. Why wrong: duplicates allowed. Consequence: inconsistent data.","Order items use order_id + product_id.","database","schema-design","3"
"What is database denormalization in caching strategies?","Denormalization stores computed or duplicated data to avoid repeated joins and calculations, improving read performance.","It matters because recomputation can be expensive.","Use in high-read systems.","Improves speed but risks stale data.","Mistake: not syncing duplicates. Why wrong: stale data. Consequence: incorrect results.","Precomputed totals avoid recalculation.","database","denormalization,performance","4"
"What is a deadlock in database transactions?","A deadlock occurs when transactions hold locks that each other need, creating a cycle where none can proceed until the database aborts one to break the stalemate.","It matters because deadlocks stop progress and force rollbacks, impacting reliability and throughput.","Use consistent lock ordering and short transactions to reduce risk.","Strict ordering reduces deadlocks but constrains design flexibility.","Mistake: acquiring locks in inconsistent order. Why wrong: creates circular wait. Consequence: transaction aborts and retries.","Two transactions update rows in opposite order and block each other.","database","transactions,concurrency","4"
"What is write skew anomaly?","Write skew happens when concurrent transactions read the same data and update different rows, violating constraints because each sees a valid snapshot.","It matters because it breaks business rules without obvious conflicts.","Use higher isolation like serializable to prevent it.","Stronger isolation prevents anomalies but reduces concurrency.","Mistake: assuming default isolation prevents all anomalies. Why wrong: write skew is still possible. Consequence: invalid state.","Two doctors both schedule shifts, exceeding allowed coverage.","database","transactions","5"
"What is database sharding and how does it relate to schema design?","Sharding partitions data across nodes using a shard key so each node handles a subset, reducing load on any single database.","It matters because large datasets outgrow single-node capacity.","Use when vertical scaling is insufficient.","Improves scalability but complicates joins and rebalancing.","Mistake: choosing a poor shard key. Why wrong: uneven distribution. Consequence: hotspots and imbalance.","User data sharded by region can overload one region.","database","scaling,schema-design","4"
"What is schema migration and why is it difficult?","Schema migration changes database structure while preserving data and compatibility, requiring careful coordination between application and database.","It matters because incorrect migrations can break running systems or corrupt data.","Use versioned, backward-compatible migrations.","Enables evolution but introduces deployment risk.","Mistake: making breaking changes directly. Why wrong: active code depends on old schema. Consequence: downtime.","Adding a non-null column without default breaks inserts.","database","schema-design","3"
"What is a materialized view and when should you use it?","A materialized view stores precomputed query results so expensive aggregations do not need to be recomputed each time.","It matters because repeated heavy queries can overwhelm the system.","Use for expensive read-heavy queries.","Improves read speed but requires refresh logic.","Mistake: not refreshing view. Why wrong: data becomes stale. Consequence: incorrect results.","Daily sales summary stored and refreshed periodically.","database","denormalization,performance","4"
"What is a phantom read and when does it occur?","A phantom read occurs when a transaction reruns a query and sees new rows inserted by another transaction, breaking the assumption of a stable dataset.","It matters because repeated queries can yield inconsistent results.","Use serializable isolation to prevent it.","Higher isolation prevents anomalies but reduces concurrency.","Mistake: assuming repeatable read prevents all changes. Why wrong: new rows can still appear. Consequence: inconsistent results.","Row count changes within a transaction.","database","transactions,consistency","4"
"What is a savepoint in a transaction?","A savepoint marks a point inside a transaction that you can roll back to without aborting the entire transaction.","It matters because it allows partial recovery instead of losing all work.","Use when multiple steps can fail independently.","Improves flexibility but adds complexity.","Mistake: always rolling back entire transaction. Why wrong: discards valid work. Consequence: wasted processing.","Batch insert rolls back only failed records.","database","transactions","3"
"What is optimistic locking and when is it appropriate?","Optimistic locking avoids holding locks and instead checks a version before commit to detect conflicts.","It matters because it improves concurrency when conflicts are rare.","Use in low-conflict systems.","Improves throughput but requires retry handling.","Mistake: ignoring retries. Why wrong: conflicts overwrite data. Consequence: lost updates.","Two users edit the same record simultaneously.","database","transactions,concurrency","4"
"What is pessimistic locking and when should you use it?","Pessimistic locking locks data before modification to prevent conflicts, ensuring exclusive access.","It matters because it guarantees correctness under contention.","Use in high-conflict scenarios.","Prevents conflicts but reduces concurrency.","Mistake: overusing locks. Why wrong: blocks others unnecessarily. Consequence: throughput drops.","Inventory updates in high-demand systems.","database","transactions,concurrency","4"
"What is a database constraint and why is it important?","Constraints enforce rules like uniqueness and referential integrity at the database level, ensuring invalid data cannot be stored.","It matters because application-level checks can be bypassed or fail under concurrency.","Use constraints for critical business rules.","Improves integrity but reduces flexibility.","Mistake: relying only on application validation. Why wrong: race conditions occur. Consequence: invalid data.","Unique constraint prevents duplicate emails.","database","schema-design","3"
"What is a check constraint and when should it be used?","A check constraint enforces conditions on column values, ensuring only valid data is stored.","It matters because it guarantees domain rules at the database level.","Use for simple validation rules.","Improves correctness but adds overhead.","Mistake: skipping constraints. Why wrong: invalid values allowed. Consequence: broken logic.","Age must be greater than zero.","database","schema-design","2"
"What is a surrogate key vs natural key?","A surrogate key is an artificial identifier, while a natural key is derived from real-world data; surrogates remain stable while natural keys can change.","It matters because key choice affects updates and relationships.","Use surrogate keys for stability.","Surrogates simplify design but lose business meaning.","Mistake: using mutable natural keys. Why wrong: changes cascade. Consequence: complex updates.","Email as key causes issues when changed.","database","schema-design","3"
"What is schema evolution and how do you manage it safely?","Schema evolution updates structure over time while maintaining compatibility with existing data and applications.","It matters because systems must evolve without breaking.","Use backward-compatible migrations.","Safe changes reduce risk but increase complexity.","Mistake: making incompatible changes. Why wrong: breaks clients. Consequence: outages.","Add nullable column before enforcing constraints.","database","schema-design","4"
"What is vertical vs horizontal partitioning?","Vertical partitioning splits columns, horizontal partitioning splits rows, optimizing different access patterns.","It matters because proper partitioning improves performance and scalability.","Choose based on query access patterns.","Improves efficiency but complicates queries.","Mistake: wrong partitioning choice. Why wrong: mismatched access. Consequence: slow queries.","Split users by region vs columns.","database","scaling","4"
"What is database replication lag and why does it matter?","Replication lag is the delay between primary and replica updates, causing replicas to serve stale data.","It matters because stale reads can break user expectations.","Use replicas carefully for read scaling.","Improves scalability but reduces consistency.","Mistake: assuming immediate consistency. Why wrong: lag exists. Consequence: stale reads.","User sees outdated profile after update.","database","scaling,consistency","4"
"What is write amplification in storage engines?","Write amplification occurs when a single logical write results in multiple physical writes due to indexing or compaction.","It matters because it increases I/O and reduces performance.","Use optimized storage engines.","Improves durability but increases overhead.","Mistake: ignoring storage behavior. Why wrong: hidden cost. Consequence: slower writes.","LSM compaction increases writes.","database","internals,performance","5"
"What is read amplification and how does it affect queries?","Read amplification happens when retrieving data requires accessing multiple locations or files, increasing latency.","It matters because inefficient reads slow queries significantly.","Use indexing and caching to reduce it.","Improves flexibility but increases read cost.","Mistake: ignoring layout. Why wrong: scattered reads. Consequence: slow queries.","Fetching data from multiple disk locations.","database","internals,performance","4"
"What is a heap table vs clustered index?","Heap tables store rows unordered, while clustered indexes store rows in sorted order based on a key, improving range access.","It matters because physical layout affects query performance.","Use clustered indexes for range queries.","Improves reads but slows writes.","Mistake: ignoring layout. Why wrong: inefficient access. Consequence: slow scans.","Range queries benefit from clustering.","database","internals,indexing","4"
"What is MVCC and how does it improve concurrency?","MVCC keeps multiple versions of rows so readers don’t block writers, enabling non-blocking reads.","It matters because locking can severely limit concurrency.","Use in high-concurrency systems.","Improves reads but increases storage usage.","Mistake: assuming no cost. Why wrong: version storage grows. Consequence: bloat.","Postgres uses MVCC for concurrency.","database","transactions,internals","5"
"What is a redo log and why is it important?","Redo logs record changes so they can be replayed after a crash, ensuring durability.","It matters because without it, committed data could be lost.","Use in transactional systems.","Improves recovery but adds write overhead.","Mistake: disabling logs. Why wrong: no recovery. Consequence: data loss.","Crash recovery replays redo logs.","database","internals","4"
"What is a write-ahead log (WAL)?","WAL ensures changes are logged before being applied to disk, guaranteeing durability and recovery consistency.","It matters because it prevents corruption during crashes.","Use in ACID-compliant systems.","Improves safety but adds latency.","Mistake: bypassing WAL. Why wrong: inconsistent state. Consequence: corruption.","Postgres WAL ensures crash recovery.","database","internals,transactions","4"
"What is a covering index and why is it useful?","A covering index includes all columns needed for a query so it can be served entirely from the index, avoiding table access.","It matters because reducing I/O significantly improves performance.","Use for frequent queries.","Improves speed but increases index size.","Mistake: overusing covering indexes. Why wrong: bloats index. Consequence: slower writes.","Index contains all needed columns.","database","performance,indexing","4"
"What is cardinality and why does it matter?","Cardinality measures how unique values are in a column, influencing how effective an index is.","It matters because low-cardinality indexes are often ignored.","Use high-cardinality columns for indexing.","Improves selectivity but not always performance.","Mistake: indexing low-cardinality columns. Why wrong: low usefulness. Consequence: wasted index.","Boolean column rarely benefits.","database","performance","3"
"What is a hot partition and how does it affect scaling?","A hot partition occurs when one shard receives disproportionate traffic, becoming a bottleneck.","It matters because uneven load limits scalability.","Use balanced shard keys.","Improves distribution but requires planning.","Mistake: poor shard key. Why wrong: uneven load. Consequence: bottleneck.","User ID hashing distributes load evenly.","database","scaling,performance","4"
"What is eventual consistency in database systems?","Eventual consistency allows temporary inconsistencies between replicas, with data converging over time.","It matters because it enables high availability and scalability.","Use in distributed systems where stale reads are acceptable.","Improves availability but risks stale data.","Mistake: assuming immediate consistency. Why wrong: delays exist. Consequence: incorrect reads.","Social feeds tolerate eventual consistency.","database","scaling,consistency","4"
